"﻿""カードID(内部ID)""",カードハッシュ,カードID(モバゲーID),カード名,カード別名,アイドルID(内部ID),アイドル名,属性,レアリティ,特訓後,身長,体重,バストサイズ,ウエストサイズ,ヒップサイズ,コスト,初期攻,初期守,最大攻(推定値),最大守(推定値),特技名,メイン特技効果,ダブル特技効果,アイプロ育成アイドル,フリートレード制限中,システム追加日時
2027,40ac7b999dd928719947512fff5f57fd,3221901,[ナイトパーティー]斉藤洋子,,140,斉藤洋子,Passion,R,False,157,46,85,57,82,13,1740,3240,4568,8505,美ﾎﾞﾃﾞｨ･ﾖｶﾞ,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の守 ﾗﾝﾀﾞﾑで中～大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2028,a5f88f3476beafef8c1fbd491bdf167b,3321902,[ナイトパーティー]斉藤洋子+,,140,斉藤洋子,Passion,R+,True,157,46,85,57,82,13,2088,3888,6917,12880,美ﾎﾞﾃﾞｨ･ﾖｶﾞ,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の守 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2029,9086b74e92fcb074c154a8aa5ad516d2,3229301,[ウェルネスデイズ]斉藤洋子,,140,斉藤洋子,Passion,R,False,157,46,85,57,82,14,2740,2720,7193,7140,魅せるﾁｶﾗ,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻守 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2030,645befcc6e4768dd22934277bd7e98cf,3329302,[ウェルネスデイズ]斉藤洋子+,,140,斉藤洋子,Passion,R+,True,157,46,85,57,82,14,3288,3264,10893,10812,魅せるﾁｶﾗ,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2031,8010afc200495c069ca1c340ec365798,3232601,[フェリーチェ・チョコラータ]斉藤洋子,,140,斉藤洋子,Passion,R,False,157,46,85,57,82,13,2520,2480,6615,6510,ﾍﾙｼｰｽｲｰﾂ,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1～2人の攻守 大ﾀﾞｳﾝ,,False,False,2018/10/09 05:41:55
2032,ca815683f4f6629bb6bf302a75e56d55,3332602,[フェリーチェ・チョコラータ]斉藤洋子+,,140,斉藤洋子,Passion,R+,True,157,46,85,57,82,13,3024,2976,10018,9858,ﾍﾙｼｰｽｲｰﾂ,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻守 大ﾀﾞｳﾝ,,False,False,2018/10/09 05:41:55
2033,dac5475fe90480756d56bfd8a894f38f,3237701,[新春浪漫]斉藤洋子,,140,斉藤洋子,Passion,R,False,157,46,85,57,82,13,2880,2140,7560,5618,無病息災,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2034,1071bfb308b6b8a1f34be93a8da42c55,3337702,[新春浪漫]斉藤洋子+,,140,斉藤洋子,Passion,R+,True,157,46,85,57,82,13,3456,2568,11448,8507,無病息災,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2035,0024aced791b7de9c49ca8185b6c7dde,3239801,[ヘルシーブレイン]斉藤洋子,,140,斉藤洋子,Passion,R,False,157,46,85,57,82,14,2180,3260,5723,8558,ﾄﾗｲｱﾝﾄﾞｿﾙﾌﾞ,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2036,be40f6027e08471c23013da471b03051,3339802,[ヘルシーブレイン]斉藤洋子+,,140,斉藤洋子,Passion,R+,True,157,46,85,57,82,14,2616,3912,8667,12959,ﾄﾗｲｱﾝﾄﾞｿﾙﾌﾞ,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2～3人の守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2037,6493f1eb3bfcb583cff1e74961039d42,3406301,[アクティブビューティー]斉藤洋子,,140,斉藤洋子,Passion,SR,False,157,46,85,57,82,17,4040,3960,10605,10395,ﾊﾞｰﾆﾝｸﾞﾀﾞﾝｽ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2038,f8ba08532e70a89d22a0b58a01cedd4a,3506302,[アクティブビューティー]斉藤洋子+,,140,斉藤洋子,Passion,SR+,True,157,46,85,57,82,17,4848,4752,16060,15742,ﾊﾞｰﾆﾝｸﾞﾀﾞﾝｽ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2039,d86f212dc2bd0b2aff150597954ae65c,3416801,[ロワイヤルサマー]斉藤洋子,,140,斉藤洋子,Passion,SR,False,157,46,85,57,82,13,3220,2360,8453,6195,波しぶきのﾘｽﾞﾑ,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2040,6d7bec74730f62497406933a724deeb7,3516802,[ロワイヤルサマー]斉藤洋子+,,140,斉藤洋子,Passion,SR+,True,157,46,85,57,82,13,3864,2832,12801,9382,波しぶきのﾘｽﾞﾑ,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻 ﾗﾝﾀﾞﾑで特大～極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2041,87ddcb0644b65e0e0f77a0b8b40e2e9e,3425201,[パンプアップ]斉藤洋子,,140,斉藤洋子,Passion,SR,False,157,46,85,57,82,18,3700,4800,9713,12600,ｸﾗｲﾑｽﾋﾟﾘｯﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの守 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2042,6404ed97807a171fa347f103f3a1ed80,3525202,[パンプアップ]斉藤洋子+,,140,斉藤洋子,Passion,SR+,True,157,46,85,57,82,18,4440,5760,14709,19080,ｸﾗｲﾑｽﾋﾟﾘｯﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの守 ﾗﾝﾀﾞﾑで特大～極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2043,63e3fed9d083a1311df1964f1095b84c,3430401,[アクティブ・ロワイヤル]斉藤洋子,,140,斉藤洋子,Passion,SR,False,157,46,85,57,82,18,4280,4320,11235,11340,ﾊﾟﾜﾌﾙﾎﾞｲｽ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻守 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2044,1013f20a456ce20449239b3e587bb424,3530402,[アクティブ・ロワイヤル]斉藤洋子+,,140,斉藤洋子,Passion,SR+,True,157,46,85,57,82,18,5136,5184,17014,17172,ﾊﾟﾜﾌﾙﾎﾞｲｽ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻守 ﾗﾝﾀﾞﾑで特大～極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2045,b79ddc7d8c30b9cf74ca16fd0c2115f8,3441001,[バイタルチアー]斉藤洋子,,140,斉藤洋子,Passion,SR,False,157,46,85,57,82,20,5300,4220,13913,11078,ｳｫｰﾐﾝｸﾞｱｯﾌﾟ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2046,b442544a8f105b1ef78ed232c0ffda34,3541002,[バイタルチアー]斉藤洋子+,,140,斉藤洋子,Passion,SR+,True,157,46,85,57,82,20,6360,5064,21069,16775,ｳｫｰﾐﾝｸﾞｱｯﾌﾟ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻 ﾗﾝﾀﾞﾑで特大～極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2047,697e19df704f2ef4b9aca8fb57aa39d2,3211501,冴島清美,,195,冴島清美,Passion,R,False,153,43,76,58,78,11,1340,1880,3518,4935,ﾙｰﾙ執行!,ｷｭｰﾄ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの守 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2048,a795675b428cf7cc384eedde31c6258a,3311502,冴島清美+,,195,冴島清美,Passion,R+,True,153,43,76,58,78,11,1608,2256,5327,7474,ﾙｰﾙ執行!,ｷｭｰﾄ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの守 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2049,0b195865a262327e4732c68aeff5456c,3213601,[湯けむり月夜]冴島清美,,195,冴島清美,Passion,R,False,153,43,76,58,78,14,3060,2240,8033,5880,班長権限!,ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2050,748d86d7610287f202ac26a1d4195269,3313602,[湯けむり月夜]冴島清美+,,195,冴島清美,Passion,R+,True,153,43,76,58,78,14,3672,2688,12165,8904,班長権限!,ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2051,096e063d60b4b7702c871871d66b4519,3215301,[ショコラフレーバー]冴島清美,,195,冴島清美,Passion,R,False,153,43,76,58,78,12,2040,2060,5355,5408,超☆ﾁｮｺﾚｰﾄ,ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 小ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2052,60aac231822dea54e7042584603fc4d8,3315302,[ショコラフレーバー]冴島清美+,,195,冴島清美,Passion,R+,True,153,43,76,58,78,12,2448,2472,8110,8189,超☆ﾁｮｺﾚｰﾄ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻守 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2053,e96c0d9f1bc2c591042ff10001a3e28e,3215401,[ショコラフレーバー・S]冴島清美,,195,冴島清美,Passion,R,False,153,43,76,58,78,13,2860,2020,7508,5303,超☆ﾁｮｺﾚｰﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2054,7a3d5393fa60cfe4bf872cbcde7bd740,3315402,[ショコラフレーバー・S]冴島清美+,,195,冴島清美,Passion,R+,True,153,43,76,58,78,13,3432,2424,11369,8031,超☆ﾁｮｺﾚｰﾄ,ｸｰﾙ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2055,1d8fc0d491ca864c126ce13cff71e55b,3318402,[ロックI.C]冴島清美+,,195,冴島清美,Passion,R+,True,153,43,76,58,78,12,2420,2840,6958,8165,ｷﾞﾀｰﾚｯｽﾝ,ﾊﾟｯｼｮﾝﾀｲﾌﾟの守 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2056,8917cbf796fc48c5a8e55d383339eba5,3223101,[アイドル取締係]冴島清美,,195,冴島清美,Passion,R,False,153,43,76,58,78,14,2700,2720,7088,7140,調査続行!,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻守 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2057,39802652866ea5548a61d257a6d787c3,3323102,[アイドル取締係]冴島清美+,,195,冴島清美,Passion,R+,True,153,43,76,58,78,14,3240,3264,10733,10812,調査続行!,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻守 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2058,94c08885da41d1fc80e33b8e7e23ea6b,3230701,[タラン・アナリーズ]冴島清美,,195,冴島清美,Passion,R,False,153,43,76,58,78,14,2840,2620,7455,6878,知識の調合,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2～3人の攻守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2059,f9adb6b00e178dc8dbddd07a8c9d3629,3330702,[タラン・アナリーズ]冴島清美+,,195,冴島清美,Passion,R+,True,153,43,76,58,78,14,3408,3144,11290,10415,知識の調合,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位3人の攻守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2060,b0dc1521b2a797bcd2b0a702ea1d338f,3338202,[雪像バラエティ]冴島清美+,,195,冴島清美,Passion,R+,True,153,43,76,58,78,14,3780,3720,10868,10695,超☆現場監督,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1～2人の攻守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2061,1e76e42ee33ba9edc8868984b88dbc0c,3241101,[正しき身嗜み]冴島清美,,195,冴島清美,Passion,R,False,153,43,76,58,78,14,2180,3280,5723,8610,超☆服装検査,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2062,4dd4d968d32d4719f6e5d6be39bcd5d9,3341102,[正しき身嗜み]冴島清美+,,195,冴島清美,Passion,R+,True,153,43,76,58,78,14,2616,3936,8667,13038,超☆服装検査,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2～3人の守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2063,8dd85e79dbfde7f5888c4aabd5805d4b,3413501,[学園の超☆新星]冴島清美,,195,冴島清美,Passion,SR,False,153,43,76,58,78,19,5280,4000,13860,10500,有言超☆実行,ｷｭｰﾄ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻 極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2064,789218d49debfd49fe6ea42ed26e7839,3513502,[学園の超☆新星]冴島清美+,,195,冴島清美,Passion,SR+,True,153,43,76,58,78,19,6336,4800,20988,15900,有言超☆実行,ｷｭｰﾄ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻 絶大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2065,65358f57a96b392c90e1b573723939e1,3416101,[ガールズロッカー]冴島清美,,195,冴島清美,Passion,SR,False,153,43,76,58,78,13,2340,3180,6143,8348,ｷﾞﾀｰﾊﾟﾌｫｰﾏﾝｽ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2066,db755eae0641bef500fb12fda1026268,3516102,[ガールズロッカー]冴島清美+,,195,冴島清美,Passion,SR+,True,153,43,76,58,78,13,2808,3816,9303,12641,ｷﾞﾀｰﾊﾟﾌｫｰﾏﾝｽ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の守 ﾗﾝﾀﾞﾑで特大～極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2067,b5912188c743433a82f5866f9e473ff9,3416201,[ガールズロッカー・S]冴島清美,,195,冴島清美,Passion,SR,False,153,43,76,58,78,17,3520,4580,9240,12023,ｷﾞﾀｰﾊﾟﾌｫｰﾏﾝｽ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの守 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2068,f913a86dcbf8a9c3d60cc4c3beac9944,3516202,[ガールズロッカー・S]冴島清美+,,195,冴島清美,Passion,SR+,True,153,43,76,58,78,17,4224,5496,13992,18207,ｷﾞﾀｰﾊﾟﾌｫｰﾏﾝｽ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの守 ﾗﾝﾀﾞﾑで特大～極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2069,07e0aefc7c9c5fbb79cca7355977460e,3420101,[ベリーメリーチアー]冴島清美,,195,冴島清美,Passion,SR,False,153,43,76,58,78,13,2840,2780,7455,7298,お喋り許可!,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2070,8e832b807804f4f50dc1bba42ef61426,3520102,[ベリーメリーチアー]冴島清美+,,195,冴島清美,Passion,SR+,True,153,43,76,58,78,13,3408,3336,11290,11051,お喋り許可!,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻守 ﾗﾝﾀﾞﾑで特大～極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2071,2b63b7e0ec092dfd36a67f809c36a5a9,3431101,[超☆スーパーモデル]冴島清美,,195,冴島清美,Passion,SR,False,153,43,76,58,78,22,5920,5780,15540,15173,洗練ﾎﾟｰｼﾞﾝｸﾞ☆,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位4～5人の攻守 極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2072,795be75c072fbeca019121e5a065f41b,3531102,[超☆スーパーモデル]冴島清美+,,195,冴島清美,Passion,SR+,True,153,43,76,58,78,22,7104,6936,23532,22977,洗練ﾎﾟｰｼﾞﾝｸﾞ☆,ｸｰﾙ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位4～5人の攻守 絶大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2073,ed713f3796903b39b2859de02333692e,3438601,[超☆風紀・ロワイヤル]冴島清美,,195,冴島清美,Passion,SR,False,153,43,76,58,78,19,4380,4520,11498,11865,超☆ﾄﾚｰﾆﾝｸﾞ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻守 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2074,d6be32a4312ef65e6697fbd4da5b3926,3538602,[超☆風紀・ロワイヤル]冴島清美+,,195,冴島清美,Passion,SR+,True,153,43,76,58,78,19,5256,5424,17411,17968,超☆ﾄﾚｰﾆﾝｸﾞ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻守 ﾗﾝﾀﾞﾑで特大～極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2075,84456974d34c4aa0710a83878d3ebaca,3442301,[真面目バカンス]冴島清美,,195,冴島清美,Passion,SR,False,153,43,76,58,78,17,4420,3360,11603,8820,ﾋﾞｰﾁのﾙｰﾙ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2076,c58a7cce87b2602e10b100e358561a2c,3542302,[真面目バカンス]冴島清美+,,195,冴島清美,Passion,SR+,True,153,43,76,58,78,17,5304,4032,17571,13356,ﾋﾞｰﾁのﾙｰﾙ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻 極大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2077,4631f0706acca0cd72bb928ea0508d5a,3442401,[真面目バカンス・S]冴島清美,,195,冴島清美,Passion,SR,False,153,43,76,58,78,20,11950,10750,31369,28219,ﾋﾞｰﾁのﾙｰﾙ,,,True,True,2018/10/09 05:41:55
2078,c5a1dae84e4ec491751ed4520b84f5d8,3542402,[真面目バカンス・S]冴島清美+,,195,冴島清美,Passion,SR+,True,153,43,76,58,78,20,11950,10750,47503,42733,ﾋﾞｰﾁのﾙｰﾙ,,,True,True,2018/10/09 05:41:55
2079,0a2cb7263e4bab320935782c987b0ed1,1202401,榊原里美,,49,榊原里美,Cute,R,False,162,46,91,56,86,10,1280,1920,3360,5040,ｷｭｰﾃｨｱｸﾄ,,,False,False,2018/10/09 05:41:55
2080,3971354d7c145d26b9e76bcf7ff85203,1302402,榊原里美+,,49,榊原里美,Cute,R+,True,162,45,91,56,86,10,1536,2304,5088,7632,ｷｭｰﾃｨｱｸﾄ,,,False,False,2018/10/09 05:41:55
2081,2744cd367edb50ffe7959ba47f5f6afe,1208601,[イタリアンスタイル]榊原里美,,49,榊原里美,Cute,R,False,162,45,91,56,86,10,1280,1940,3360,5093,ｿﾌﾃｨｷｳｲ,全ﾀｲﾌﾟの守 小ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2082,1a71cce509dbda3f4d3a9d8a7a83b5a8,1308602,[イタリアンスタイル]榊原里美+,,49,榊原里美,Cute,R+,True,162,45,91,56,86,10,1536,2328,5088,7713,ｿﾌﾃｨｷｳｲ,全ﾀｲﾌﾟの守 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2083,43d1d4fc514cdece1a5ae65bc99d480f,1210501,[メロメロキャンディ]榊原里美,,49,榊原里美,Cute,R,False,162,45,91,56,86,13,3000,1920,7875,5040,あま～い時間,ｷｭｰﾄ･ｸｰﾙﾀｲﾌﾟの攻 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2084,868ad09a014294cd1f31276948b65141,1310502,[メロメロキャンディ]榊原里美+,,49,榊原里美,Cute,R+,True,162,45,91,56,86,13,3600,2304,11926,7632,あま～い時間,ｷｭｰﾄ･ｸｰﾙﾀｲﾌﾟの攻 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2085,6f0e256632a44047e538f5c99fe4fa31,1216001,[ワーキング・マフィア]榊原里美,,49,榊原里美,Cute,R,False,162,45,91,56,86,12,2560,1920,6720,5040,ｸﾗｲﾑﾎﾞﾃﾞｨ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝﾀｲﾌﾟの攻 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2086,c04bfe60da8022fa3fc6561134749b65,1316002,[ワーキング・マフィア]榊原里美+,,49,榊原里美,Cute,R+,True,162,45,91,56,86,12,3072,2304,10176,7632,ｸﾗｲﾑﾎﾞﾃﾞｨ,ｷｭｰﾄ･ﾊﾟｯｼｮﾝのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2087,656a5b69d3f81ed6c3f1afc6a294cb71,1322402,[夏祭り]榊原里美+,,49,榊原里美,Cute,R+,True,162,45,91,56,86,13,3480,3400,10005,9775,天然ｺｰﾙ,ｷｭｰﾄ･ｸｰﾙのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻守 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2088,08be8e4dcff4f7384656fca3062ccaba,1225701,[ラブリーメイド]榊原里美,,49,榊原里美,Cute,R,False,162,45,91,56,86,14,3240,2240,8505,5880,ｽｲｰﾄｺｰﾙﾄﾞ,ｷｭｰﾄ･ｸｰﾙのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2089,6993c3919d9955689694fab691b877a4,1325702,[ラブリーメイド]榊原里美+,,49,榊原里美,Cute,R+,True,162,45,91,56,86,14,3888,2688,12880,8904,ｽｲｰﾄｺｰﾙﾄﾞ,ｷｭｰﾄ･ｸｰﾙのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位2人の攻 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2090,c5f8a51fd468b2d67fbee35744959e59,1232501,[ふんわりパピヨン]榊原里美,,49,榊原里美,Cute,R,False,162,45,91,56,86,14,2780,2740,7298,7193,あまいかおり,ｷｭｰﾄ･ｸｰﾙのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻守 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
2091,9948c2cc9042b6db538973772ffd6bee,1332502,[ふんわりパピヨン]榊原里美+,,49,榊原里美,Cute,R+,True,162,45,91,56,86,14,3336,3288,11051,10893,あまいかおり,ｷｭｰﾄ･ｸｰﾙのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻守 特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:55
